sale_id,date_sales,community,brand,model,units,unit_price,total_amount
1,5/16/2024,Galicia,Samsung,Galaxy S21,2,324.42,648.84
2,5/14/2025,Cataluña,Samsung,Galaxy Z Flip,1,187.25,187.25
3,2/12/2024,Madrid,Apple,iPhone 13,5,674.4,3372
4,1/14/2023,Galicia,OPPO,A78,2,1022.67,2045.34
5,3/16/2024,Andalucia,Xiaomi,Mi 11,3,277.76,833.28
6,12/5/2024,Castilla y Leon,OPPO,Reno 8,5,480.65,2403.25
7,9/13/2023,Castilla La Mancha,Samsung,Galaxy Z Flip,4,248.5,994
8,1/29/2024,Castilla y Leon,Xiaomi,Poco X5,1,207.28,207.28
9,4/21/2024,Cataluña,Apple,iPhone 14,1,625.16,625.16
10,11/30/2023,Castilla y Leon,OPPO,A78,3,594.09,1782.27
11,12/17/2023,Cataluña,Xiaomi,Poco X5,5,1061.41,5307.05
12,7/6/2024,Pais Vasco,Apple,iPhone 14,5,424.52,2122.6
13,3/7/2023,Valencia,Xiaomi,Redmi Note 12,3,651.46,1954.38
14,3/11/2024,Castilla y Leon,Samsung,Galaxy S21,4,644.54,2578.16
15,10/13/2023,Galicia,OPPO,Reno 8,2,1081.24,2162.48
16,3/28/2025,Pais Vasco,Motorola,G82,3,424.15,1272.45
17,7/6/2023,Castilla La Mancha,Apple,iPhone 15,1,1226.38,1226.38
18,5/14/2025,Andalucia,Apple,iPhone 15,5,229.41,1147.05
19,12/19/2025,Castilla La Mancha,OPPO,A78,3,1363.85,4091.55
20,6/30/2024,Cataluña,Samsung,Galaxy Z Flip,3,289.44,868.32
21,1/7/2023,Castilla La Mancha,OPPO,Reno 8,3,1364.86,4094.58
22,9/3/2024,Cataluña,Apple,iPhone 15,5,911.21,4556.05
23,12/22/2025,Andalucia,Apple,iPhone 14,1,898.68,898.68
24,1/13/2025,Cataluña,OPPO,Reno 8,3,449.32,1347.96
25,6/25/2023,Cataluña,Apple,iPhone 15,4,1170.03,4680.12
26,8/31/2025,Andalucia,Motorola,Edge 40,5,356.41,1782.05
27,3/9/2024,Pais Vasco,Motorola,Razr 40,5,1094.08,5470.4
28,3/28/2025,Galicia,Apple,iPhone 15,3,697.63,2092.89
29,5/22/2024,Cataluña,Motorola,G82,2,230.03,460.06
30,3/27/2024,Valencia,Samsung,Galaxy Z Flip,1,238.74,238.74
31,3/6/2023,Cataluña,Samsung,Galaxy S21,3,238.57,715.71
32,3/14/2024,Castilla La Mancha,Apple,iPhone 14,5,315.39,1576.95
33,5/12/2024,Castilla La Mancha,Motorola,Razr 40,4,1159.37,4637.48
34,6/1/2025,Cataluña,Apple,iPhone 13,3,679.47,2038.41
35,7/21/2023,Madrid,OPPO,A78,1,653.28,653.28
36,1/28/2024,Valencia,Xiaomi,Redmi Note 12,2,820.36,1640.72
37,7/24/2024,Andalucia,Apple,iPhone 14,4,462.26,1849.04
38,4/14/2023,Cataluña,Samsung,Galaxy A54,5,1195.03,5975.15
39,4/12/2025,Andalucia,Samsung,Galaxy S21,4,751.7,3006.8
40,2/15/2025,Andalucia,OPPO,Reno 8,1,1381.64,1381.64
41,5/16/2025,Galicia,Xiaomi,Mi 11,5,977.34,4886.7
42,8/30/2024,Valencia,OPPO,Reno 8,2,1360.89,2721.78
43,10/4/2024,Madrid,Motorola,Razr 40,1,212.68,212.68
44,4/27/2023,Andalucia,OPPO,A78,5,250.14,1250.7
45,4/26/2024,Cataluña,Apple,iPhone 13,4,299.86,1199.44
46,6/17/2023,Madrid,Motorola,Edge 40,4,971.72,3886.88
47,6/18/2024,Castilla y Leon,Motorola,Razr 40,2,987.16,1974.32
48,3/21/2025,Galicia,Xiaomi,Redmi Note 12,2,989.61,1979.22
49,5/29/2023,Castilla y Leon,Xiaomi,Mi 11,1,722.86,722.86
50,3/12/2024,Cataluña,Motorola,Edge 40,5,481.5,2407.5
51,1/26/2025,Valencia,Xiaomi,Redmi Note 12,3,347.18,1041.54
52,12/19/2025,Galicia,Motorola,Razr 40,1,984.83,984.83
